id,gym_id,event_type_id,title,date,time,price,day_of_week,type,event_url,created_at,updated_at,gym_name,gym_code,gym_state,event_type_name,event_type_color
032efaeb-1adc-4771-a32d-afa154ef6c0d,TIG,,Advanced Floor Skill Clinic,2025-09-19,6:30 PM - 7:30 PM,25.00,Friday,CLINIC,https://portal.iclasspro.com/tigar/camp-details/505?typeId=2,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Tigar Gymnastics,TIG,CA,,
051dbacf-7643-43ac-8d64-f2cb82047c7e,HGA,,Open Gym,2025-09-19,6:00 PM - 7:00 PM,20.00,Friday,OPEN GYM,https://portal.iclasspro.com/houstongymnastics/camp-details/834?typeId=15,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Houston Gymnastics Academy,HGA,TX,,
05ee79c8-335b-4a0a-9657-1fd9b559f89d,CPF,,Homeschool Free Play,2025-09-10,10:00 AM - 11:30 AM,10,Wednesday,OPEN GYM,https://portal.iclasspro.com/capgymhp/camp-details/2481?typeId=81&filters=%7B%22sorting%22:%22name%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-03 18:20:19.192165+00,2025-09-03 18:20:19.192165+00,Capital Gymnastics Pflugerville,CPF,TX,,
077a7f05-89e2-43f6-a591-0491a88fda7f,SGT,,Cartwheels & Handstands Clinic,2025-09-20,2:30 PM - 3:30 PM,20.00,Saturday,CLINIC,https://portal.iclasspro.com/scottsdalegymnastics/camp-details/1893?typeId=28,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Scottsdale Gymnastics,SGT,AZ,,
078d8465-04a4-46c7-9261-d68ed3f6684b,CRR,,Advance Tumbling Clinic,2025-09-12,6:30 PM - 7:30 PM,,Friday,CLINIC,https://portal.iclasspro.com/capgymroundrock/camp-details/1572?typeId=28,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Capital Gymnastics Round Rock,CRR,TX,,
0794c0b3-6f19-49d6-a258-9b96666415ad,RBK,,Preschool Fun Gym,2025-09-12,11:00 AM - 12:00 PM,15.00,Friday,OPEN GYM,https://portal.iclasspro.com/rbkingwood/camp-details/1543?typeId=6,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Kingwood,RBK,TX,,
09864591-1b42-4742-9443-cecd8dd0c844,OAS,,Sports Mania,2025-08-29,6:30 PM - 9:30 PM,40.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/oasisgymnastics/camp-details/773?typeId=27&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=KIDS%20NIGHT%20OUT&campTypeNamePlural=KIDS%20NIGHT%20OUT,2025-08-29 20:48:51.269093+00,2025-08-29 20:48:51.269093+00,Oasis Gymnastics,OAS,AZ,,
0c6829bb-baa0-4690-9ad8-83c8b4328530,SGT,,Open Gym,2025-09-26,7:30 PM - 8:30 PM,,Friday,OPEN GYM,https://portal.iclasspro.com/scottsdalegymnastics/camp-details/1865?typeId=5,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Scottsdale Gymnastics,SGT,AZ,,
0f3497f9-958d-4596-ae62-e6ecd3c87371,CPF,,DECADE - Through the Years,2025-08-29,6:30 PM - 9:30 PM,35.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/capgymhp/camp-details/2435?typeId=2&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=KIDS%20NIGHT%20OUT&campTypeNamePlural=KIDS%20NIGHT%20OUT,2025-08-29 20:48:51.269093+00,2025-08-29 20:48:51.269093+00,Capital Gymnastics Pflugerville,CPF,TX,,
11ad4731-7f8b-44a8-88ab-cfaa07f09e2e,CRR,,Kids Night Out,2025-09-19,6:30 PM - 9:30 PM,,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/capgymroundrock/camp-details/1569?typeId=26,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Capital Gymnastics Round Rock,CRR,TX,,
13888170-070c-484a-87d9-db4c2290541d,CPF,,Gym Fun Fridays,2025-09-26,10:00 AM - 11:30 AM,10,Friday,OPEN GYM,https://portal.iclasspro.com/capgymhp/camp-details/2480?typeId=81&filters=%7B%22sorting%22:%22name%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-03 18:20:19.192165+00,2025-09-03 18:20:19.192165+00,Capital Gymnastics Pflugerville,CPF,TX,,
14bbdcbd-c479-4a91-b057-6c7d605d5b7d,TIG,,"KIDS NIGHT OUT - BOO BASH| Friday, October 24th | 6:30p - 9:30p (Students 5+)",2025-10-24,6:30 PM - 9:30 PM,,Thursday,KIDS NIGHT OUT,https://portal.iclasspro.com/tigar/camp-details/512,2025-09-17 20:26:22.550699+00,2025-09-17 20:26:22.550699+00,Tigar Gymnastics,TIG,CA,,
1f23956d-0306-4760-b862-4052081b2f33,RBK,,Preschool Fun Gym,2025-09-26,11:00 AM - 12:00 PM,15.00,Friday,OPEN GYM,https://portal.iclasspro.com/rbkingwood/camp-details/1547?typeId=6,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Kingwood,RBK,TX,,
202ce5be-f0d7-40b0-8517-eafbca2d38ca,RBA,,Nerf Night,2025-09-12,7:00 PM - 9:30 PM,35.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/rbatascocita/camp-details/2072?typeId=35,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Atascocita,RBA,TX,,
329da371-e831-4023-93ce-13f7f04e2179,RBA,,Tumbling Clinic,2025-09-06,12:00 PM - 1:00 PM,25.00,Saturday,CLINIC,https://portal.iclasspro.com/rbatascocita/camp-details/2075?typeId=33,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Atascocita,RBA,TX,,
3970c325-92e9-43ab-91c6-3b380bd717d9,CRR,,Gym Fun Friday 9/12/25,2025-09-12,10:00 AM - 11:30 AM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymroundrock/camp-details/1577?typeId=35&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:06:15.135293+00,2025-09-02 18:06:15.135293+00,Capital Gymnastics Round Rock,CRR,TX,,
3df3800a-67bb-4841-b659-74591b64339b,RBK,,Back Handspring Clinic,2025-09-13,12:30 PM - 2:00 PM,25.00,Saturday,CLINIC,https://portal.iclasspro.com/rbkingwood/camp-details/1544?typeId=31,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Kingwood,RBK,TX,,
4043a6d8-b89c-44e5-adc2-c724cc9b83e9,CPF,,Gym Fun Fridays,2025-09-05,10:00 AM - 11:30 AM,10,Friday,OPEN GYM,https://portal.iclasspro.com/capgymhp/camp-details/2477?typeId=81&filters=%7B%22sorting%22:%22name%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-03 18:20:19.192165+00,2025-09-03 18:20:19.192165+00,Capital Gymnastics Pflugerville,CPF,TX,,
41565120-cd06-42b1-8eed-8cb69cc343de,CPF,,Kids Night Out,2025-09-19,6:30 PM - 9:30 PM,35.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/capgymhp/camp-details/2475?typeId=2,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Capital Gymnastics Pflugerville,CPF,TX,,
4329199b-ca0c-4b75-aab9-e34e715b393e,RBA,,Pizza Party,2025-09-26,7:00 PM - 9:30 PM,35.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/rbatascocita/camp-details/2073?typeId=35,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Atascocita,RBA,TX,,
43ce30cc-ff82-4b5d-8a9d-e4ba3307f8e6,CRR,,Homeschool Open Gym 9/26/25,2025-09-26,11:30 AM - 1:00 PM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymroundrock/camp-details/1583?typeId=35&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:07:25.812318+00,2025-09-02 18:07:25.812318+00,Capital Gymnastics Round Rock,CRR,TX,,
440265a4-89a5-4023-8590-58584cce8965,RBK,,Karaoke KNO!,2025-09-26,7:00 PM - 9:30 PM,25.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/rbkingwood/camp-details/1545?typeId=26,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Kingwood,RBK,TX,,
4cd86901-f32c-4861-980a-0755c8a6de30,EST,,Open Gym,2025-09-12,7:30 PM - 9:30 PM,30.00,Friday,OPEN GYM,https://portal.iclasspro.com/estrellagymnastics/camp-details/554?typeId=12,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Estrella Gymnastics,EST,AZ,,
4fc6368d-db6f-43b5-a660-4d7332109edf,SGT,,Kids Night Out,2025-09-05,6:30 PM - 9:30 PM,45.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/scottsdalegymnastics/camp-details/1861?typeId=32,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Scottsdale Gymnastics,SGT,AZ,,
50a3e7d8-ddab-4027-b4a1-cf709cf76221,RBK,,Pajama Jam KNO!,2025-09-12,7:00 PM - 9:30 PM,25.00,Friday,KIDS NIGHT OUT,https://portal.iclasspro.com/rbkingwood/camp-details/1542?typeId=26,2025-08-28 01:40:18.591694+00,2025-08-28 01:40:18.591694+00,Rowland Ballard Kingwood,RBK,TX,,
52b87159-9c86-44e6-b990-d412049c5ce0,CRR,,| Kids Night Out | Ages 4+ | Oct 10th,2025-10-10,6:30 PM - 9:30 PM,,Thursday,KIDS NIGHT OUT,https://portal.iclasspro.com/capgymroundrock/camp-details/1570,2025-09-17 20:31:30.954022+00,2025-09-17 20:31:30.954022+00,Capital Gymnastics Round Rock,CRR,TX,,
542a5aab-7ac5-4a65-b1cd-1d501c3cad9f,CRR,,Homeschool Open Gym 9/12/25,2025-09-12,11:30 AM - 1:00 PM,,Friday,OPEN GYM,https://portal.iclasspro.com/capgymroundrock/camp-details/1581?typeId=35&filters=%7B%22sorting%22:%22time%22%7D&campTypeName=OPEN%20GYM&campTypeNamePlural=OPEN%20GYM,2025-09-02 18:07:25.812318+00,2025-09-02 18:07:25.812318+00,Capital Gymnastics Round Rock,CRR,TX,,
